id,question,A,B,C,D,solution,category,difficulty
1,¿Cuál es la fórmula química del agua?,H2O,CO2,O2,H2,A,university,easy
2,¿Qué partícula subatómica tiene carga negativa?,Protón,Neutrón,Electrón,Mesón,C,university,easy
3,¿Cuál de estos es un estado de la materia?,Plasma,Reactivo,Éter,Luz,A,university,easy
4,¿Qué unidad se usa para medir la cantidad de sustancia?,Litro,Mol,Gramo,Joule,B,university,easy
5,¿Cuál es la carga del protón?,Negativa,Positiva,Neutra,Variable,B,university,easy
6,¿Cuál es la partícula más pequeña que conserva las propiedades de un elemento?,Molécula,Átomo,Electrón,Núcleo,B,university,easy
7,¿Qué significa 'aq' en una ecuación química?,Sólido,Líquido,Disuelto en agua,Gas,C,university,easy
8,¿Cuál es el principal gas de la atmósfera terrestre?,Oxígeno,Nitrógeno,Argón,Dióxido de carbono,B,university,easy
9,¿Qué define el número atómico de un elemento?,Número de protones,Número de neutrones,Número de electrones,Masa molecular,A,university,easy
10,¿Qué nombre recibe la columna vertical en la tabla periódica?,Período,Grupo,Bloque,Fila,B,university,easy
11,¿En qué grupo de la tabla periódica se encuentran los gases nobles?,Grupo 1,Grupo 2,Grupo 17,Grupo 18,D,university,easy
12,¿Cómo se llama el cambio de estado de sólido a líquido?,Sublimación,Fusión,Evaporación,Condensación,B,university,easy
13,¿Qué número representa el Avogadro?,6'022 x 10^23,9'81 x 10^2,3'14 x 10^0,1'602 x 10^-19,A,university,easy
14,¿Qué mide el pH?,La concentración de soluto,La temperatura de una solución,La acidez o alcalinidad,La presión parcial de un gas,C,university,easy
15,¿Cómo se llama la fuerza de atracción entre masas?,Fuerza nuclear,Electrostática,Gravitación,Magnética,C,university,easy
16,¿Cuál de las siguientes opciones es una base fuerte?,NaOH,HCl,CH3COOH,NH3,A,university,easy
17,¿Qué tipo de enlace se forma al compartir electrones?,Iónico,Covalente,Metálico,Puente de hidrógeno,B,university,easy
18,¿Cuál de estas magnitudes se mide en litros?,Masa,Energía,Volumen,Presión,C,university,easy
19,¿Cuántos átomos de oxígeno tiene una molécula de ozono?,1,2,3,4,C,university,easy
20,¿Cuál es el símbolo del sodio?,So,Na,S,Sn,B,university,easy
21,¿Qué estado de la materia no tiene forma ni volumen definidos?,Sólido,Líquido,Gas,Plasma,C,university,easy
22,¿Qué partícula subatómica determina la reactividad química?,Electrón,Protón,Neutrón,Quark,A,university,easy
